US domestic flight delay data for the year 2017,,,,,,,,,,
Note - Only a sample of the entire data set is presented for analysis. This data set covers 9 airports and 3 airlines.,,,,,,,,,,
Measures represent 'total flight delay' in minutes.,,,,,,,,,,
,,,,,,,,,,
City & Airport,,Boston,Charlotte,Atlanta,Chicago,Los Angeles,New York,Newark,Seattle,Washington
Month,Carrier,BOS,CLT,ATL,ORD,LAX,LGA,EWR,SEA,DCA
7,American,38217,151881,Data Missing,125296,60020,28003,13382,10223,39012
,United,24925,2332,Data Missing,158859,24223,16373,110983,7787,7459
,Southwest,22814,4815,Data Missing,N/A,57133,19264,17915,13842,21232
8,American,25785,96007,Data Missing,83869,46957,24952,8544,8219,27035
,United,18116,1899,Data Missing,104779,25341,16298,90257,15018,4359
,Southwest,17002,3329,Data Missing,N/A,79989,14811,12841,21401,16905
9,American,19001,54854,Data Missing,50504,21951,12864,3810,3632,16647
,United,13020,565,Data Missing,51379,11876,4099,48659,4094,2522
,Southwest,12955,1034,Data Missing,N/A,40984,7861,8746,10504,11698
10,American,22281,68643,Data Missing,53374,28001,18877,4303,5518,14764
,United,17114,452,Data Missing,64220,21024,10661,52934,9497,2002
,Southwest,11170,1805,Data Missing,N/A,47446,10475,6201,9656,13712
11,American,13726,39659,Data Missing,37728,28347,9622,4642,9349,14459
,United,7609,1102,Data Missing,40116,14737,2283,51907,10194,3086
,Southwest,8084,1742,Data Missing,N/A,36585,10408,8629,11820,12025
12,American,20283,63382,Data Missing,71932,39717,26367,7507,6714,18268
,United,11899,1179,Data Missing,64947,16199,6871,69055,7560,2092
,Southwest,10455,2540,Data Missing,N/A,33927,18618,11418,13616,14080
